;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
 Адаптер IPhone-шт Lightning - Дж.3.5 гнездо CQL-001, шт;;;;;2,000;340,00;580,00
 Атрибутика ФК Ростов (casual)  FC ROSTOV), шт;;;;;1,000;1 752,00;2 600,00
 Гнездо телефонн. 6P6C (RJ11)  на плату черный, шт;;;;;1,000;10,00;25,00
 Лазерный проектор уличный , шт;;;;;1,000;1 000,00;1 650,00
 Лампа светодиодная шар PLED- ECO-G45 5W Е14 4000K (5W=40Вт, 400Lm) 230/50 jaZZway, шт;;;;;1,000;49,85;85,00
 Напильник Sparlux (Maximum), шт;;;;;3,000;345,00;540,00
" Паяльный карандаш ""Минутка""(пайка без припоя и паяльника), шт";;;;;1,000;20,00;50,00
 Разъем mini USB штекер с корпусом (16570), шт;;;;;2,000;40,00;100,00
00-00015592 Carbon Zinc PRO Элемент питания AA/R6 солевой 1.5В, 4шт, GoPower, шт;;;;;71,000;301,75;1 065,00
00-00015593 Элемент питания R03 AAA Shrink 4 Heavy Duty солевой 1.5V, 4шт, GoPower, шт;;;;;42,000;178,50;630,00
00-00015601 Super Power Alkaline Элемент питания AA/LR6 щелочной 1.5В, GoPower, шт;;;;;54,000;999,00;1 890,00
00-00015602 Super Power Alkaline Элемент питания AAA/LR03 щелочной 1.5В, 4шт, GoPower, шт;;;;;42,000;777,00;1 470,00
00-00024055 Кабель питания евровилка CEE 7/7-C13 (f) 1.2м ПВХ, 0.75мм, черный, GoPower, шт;;;;;2,000;214,00;380,00
00-00024056 Кабель питания евровилка CEE 7/7-IEC 320 C5 1.8м ПВХ, 0.75мм, черный, GoPower, шт;;;;;2,000;240,00;440,00
00-00027308 Кабель HDMI (m)-HDMI (m) 1.8м ПВХ ver.2.0 4K 60Hz, черный, в пакете, GoPower, шт;;;;;2,000;494,00;840,00
00-00027328 Кабель питания евровилка CEE 7/7-C13 (f) 3.0м, ПВХ 0.75мм, черный, GoPower, шт;;;;;2,000;338,00;580,00
00-00027472 Патч-корд RJ-45 (m)-RJ-45 (m) 1.0м кат.5е ПВХ 26AWG, серый, в пакете, GoPower, шт;;;;;2,000;112,00;200,00
00-00027473 Патч-корд RJ-45 (m)-RJ-45 (m) 2.0м кат.5е ПВХ 26AWG, серый, в пакете, GoPower, шт;;;;;2,000;136,00;240,00
"0000144013 101 Brass Hi-Hat Две тарелки 13"", Paiste, шт";;;;;1,000;5 766,00;8 950,00
10104004 Colored Series Bluefire 5A BLUE Барабанные палочки, орех гикори, синие, HUN, шт;;;;;1,000;292,00;500,00
12000 POLYWEB Комплект струн для электрогитары, Super Light, никелированная сталь, 9-42, Elixir, шт;;;;;1,000;1 630,00;2 650,00
13013 Anti-Rust Отдельная струна для гитары, сталь, .013, Elixir, шт;;;;;1,000;92,00;160,00
13018 Anti-Rust Отдельная струна для гитары, сталь, .018, Elixir, шт;;;;;2,000;184,00;320,00
14010301 Security Lock Крепление для ремня с блокировкой, для гитары, Schaller, шт;;;;;1,000;2 405,00;3 400,00
153058Fe.h. Ладовая пластина из нейзильбера, ширина 1.5мм, особо твердые, длина 260мм, фабричная пос, шт;;;;;9,000;216,00;450,00
16030 Свисток детский, пластик, Пластмастер, шт;;;;;2,000;58,00;100,00
161-STAY Стойка для акустической системы, 1250мм, Stay, шт;;;;;1,000;1 653,00;2 800,00
16152 NANOWEB Комплект струн для 12-струнной акустической гитары, Light, фосф.бронза, 10-47, Elixir, шт;;;;;1,000;3 401,00;4 900,00
1CCB7-10 Checkerboard Медиаторы,расцветка шахматы,, Planet Waves, шт;;;;;20,000;604,00;1 200,00
1CCF7-10 Camouflage Медиаторы, целлулоид, , очень толстые, камуфляжная расцветка, Planet Waves, шт;;;;;1,000;29,60;60,00
206109F Ладовая пластина из нейзильбера, ширина 2мм, длина 260мм, фабричная поставка, (расфасованы в, шт;;;;;3,000;96,00;180,00
22_LED телевизор Centek CT-8222 Full HD, цифр. тюнер DVB-T/C/T2/S/S2, HDMI, DOLBY DIGITAL, шт;;;;;1,000;6 927,00;9 850,00
249119F Ладовая пластина из нейзильбера, ширина 2.5мм, длина 260мм, фабричная поставка, Sintoms (Син, шт;;;;;4,000;192,00;340,00
270091Se.h. Комплект ладов из нейзильбера, ширина 2.7мм, особо твердые, магазинная поставка, Sintoms, шт;;;;;2,000;96,00;170,00
