;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 13.02.2026 0:00:00;;;;;
;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;;;;
;;;;
 верх Ventis В-521  Лайф S22  (56,), шт;;;;;2,000;;1 700,00
 Лестница 6м  координационная (05036), шт;;;;;1,000;295,00;1 050,00
 Медаль MMC6040B 3 место (40) 3148Д, шт;;;;;5,000;;600,00
 Нож .арт  353(ф) , шт;;;;;2,000;378,00;1 540,00
.Лапа-ракетка двойная BoyBo Fire, BPRT300, чёрно-оранжевый,флекс, шт;;;;;1,000;;1 950,00
"""Отвертун"" смазка проникающая 335мл, шт";;;;;3,000;;1 620,00
"008013 Подставка для зубочисток ""Змея"" Грин Кантри 008013 Подставка (1003132), шт";;;;;1,000;235,00;190,00
"10""Велопокрышка 10"", шт";;;;;2,000;300,00;760,00
"10""Велопокрышка 10"" -2.125, шт";;;;;1,000;;520,00
"10""Покрышка д/электро скутера  НОТА  10х2,50 -6,5 (A-3058), шт";;;;;2,000;;1 980,00
"12"" Велосипед TT5051, рама сталь., 1ск, вилка сталь ригидн., синий, шт";;;;;1,000;;6 900,00
"12""Покрышка  TRIX  (размер:12 1/2 х 2 1/4) P-1023, шт";;;;;2,000;;600,00
1231свеча  на батарейках задуваемая Китай 1231  (1002041), шт;;;;;1,000;;570,00
"14""Покрышка Trix  (14x1.95), шт";;;;;3,000;450,00;1 050,00
"16""Покрышка TRIX 1.75 (47-305) TX-1181, дорожная, черная, шт";;;;;1,000;140,00;350,00
19-78 Ветка с бусинами капли 60 см серебр Китай (1002466), шт;;;;;2,000;;1 500,00
19-86 Ветка с бусинами 60 см №4 серебр Китай 19-86 Ветка с бусинами 60 см №4 серебр (1002465), шт;;;;;1,000;;950,00
20 Камера CHAOYANG  54x406, 1.95-2.125, AV 48, шт;;;;;4,000;;1 320,00
20 Покрышка CHAOYANG H-544 (20*2.30) дорожная BMX, шт;;;;;2,000;;1 540,00
"20"" Велосипед REBEL RISE AUSTIN R1 060, рама сталь 11, 7ск., MD, orange, 2025, шт";;;;;1,000;;18 500,00
"20""Покрышка  TRIX  (размер:20 х 2,30), шт";;;;;1,000;;600,00
"20""Покрышка CHAOYANG H-568, 2.0, Black, шт";;;;;4,000;;2 720,00
"20""Покрышка WD 20x2.35 P-1023, шт";;;;;3,000;;2 610,00
20681 ТРОСТЬ 30 см. Китай 20681 Трость 30см (1002453), шт;;;;;1,000;;550,00
20804-70 ТРОСТЬ 70 см. Чудо  (1004284), шт;;;;;1,000;122,00;1 890,00
21A11-16, Новогодняя декорация Дед Мороз музыкальный 40 см, шт;;;;;2,000;;4 780,00
23A04-16, Новогодняя декорация Дед Мороз музыкальный 40 см, шт;;;;;1,000;;2 390,00
23A17-16, Новогодняя декорация Дед Мороз музыкальный 40 см, шт;;;;;1,000;;2 390,00
23A17-20, Новогодняя декорация Дед Мороз музыкальный 50 см, шт;;;;;3,000;;8 790,00
"24"" Велосипед REBEL RISE RICHER R17 367, рама магний 13, 7ск., MD, green, 2025, шт";;;;;1,000;;21 500,00
"24""Велокамера 24"" Веломастер 1.95-2.125 Росшина, шт";;;;;1,000;;240,00
"24""Камера Детали Велосипеда 24x1-3/8""AV (37-533/540), шт";;;;;1,000;;260,00
"24""Покрышка CHAOYANG H-518 (24-1.95) АНТИПРОКОЛ., шт";;;;;1,000;;1 190,00
"24""Покрышка CHAOYANG H-571, 37-533, Салют, шт";;;;;2,000;;1 440,00
"24""Покрышка CHAOYANG Н-5113, 24х1.95, АНТИПРОКОЛ 5мм., шт";;;;;5,000;;5 750,00
26 Камера CHAOYANG Герметик, 54x559, 1.95-2.125, 48AV, шт;;;;;3,000;;1 770,00
26 Покрышка CHAOYANG H-5113, 1.95, АНТИПРОКОЛ 5мм, шт;;;;;6,000;;7 080,00
